Language,,RUSSIAN,ENGLISH,TURKISH,SPANISH,GERMAN
Key,,ru,en,tr,es,de
Button_MainMenu_Start,,Играть,Play,Oynamak,Jugar,Spielen
Button_MainMenu_Language,,Язык,Language,Dil,Idioma,Sprache
Button_MainMenu_Settings,,НАСТРОЙКИ,SETTINGS,AYARLAR,AJUSTES,EINSTELLUNGEN
,,,,,,
AudioSettings_Music,,МУЗЫКА,MUSIC,MÜZİK,MÚSICA,MUSIK
AudioSettings_SFX,,ЗВУКИ,SFX,SESLER,SONIDOS,KLÄNGE
,,,,,,
Player_Nickname,,ВЫ,YOU,SEN,TÚ,DU
Exit,,Выход,Exit,Çıkış,Salida,Ausfahrt
Loader,,Загрузка данных,Loading data,Veri yükleniyor,Cargando datos,Daten werden geladen
Settings_Channel,,Канал разработчиков,Developer Channel,Geliştirici Kanalı,Canal de desarrollador,Entwicklerkanal
Settings_Sensitivity,,Чувствительность,Sensitivity,Hassasiyet,Sensibilidad,Empfindlichkeit
,,,,,,
MainMenu_Shop,,Магазин,Shop,Mağaza,Comercio,Geschäft
MainMenu_Inventory,,Инвентарь,Inventory,Envanter,Inventario,Inventar
,,,,,,
Dialogue_First,,Хей! Это разработчик! Как тебе моя игра?,Hey! This is the developer! How do you like my game?,Hey! Bu geliştirici! Oyunumu nasıl buldun?,¡Ey! ¡Este es el desarrollador! ¿Te gusta mi juego?,Hey! Das ist der Entwickler! Wie gefällt dir mein Spiel?
Dialogue_Second,,"Я очень хочу выпустить обновление, но пока не знаю что именно улучшить...","I really want to release an update, but I don’t know what exactly to improve...","Gerçekten bir güncelleme yayınlamak istiyorum, ancak tam olarak neyi geliştireceğimi bilmiyorum...","Tengo muchas ganas de lanzar una actualización, pero no sé qué mejorar exactamente...","Ich möchte unbedingt ein Update veröffentlichen, weiß aber nicht genau, was ich verbessern soll ..."
Dialogue_Third,,"Можешь, пожалуйста, в отзыве написать что тебе понравилось, а чего не хватает? Так мы сделаем игру еще круче!",Can you please write in your review what you liked and what you missed? This way we will make the game even cooler!,Lütfen yorumunuza neyi beğendiğinizi ve neyi kaçırdığınızı yazar mısınız? Bu şekilde oyunu daha da havalı hale getireceğiz!,¿Puedes escribir en tu reseña lo que te gustó y lo que te perdiste? ¡De esta manera haremos que el juego sea aún más genial!,"Können Sie bitte in Ihrer Rezension schreiben, was Ihnen gefallen hat und was Sie vermisst haben? Auf diese Weise machen wir das Spiel noch cooler!"
,,,,,,
Hub_BoxingGloves__Button_Try,,ПОПРОБОВАТЬ,TRY,DENEMEK,INTENTAR,VERSUCHEN
Hub_BoxingGloves__Button_Free,,БЕСПЛАТНО,FOR FREE,ÜCRETSİZ,GRATIS,KOSTENLOS
Hub_BoxingGloves_Button_Payment,,ПОБЕДИТЬ,WIN,KAZANÇ,GANAR,GEWINNEN
Hub_Review,,Оставить отзыв,Leave feedback,Geri bildirim bırakın,Deja un comentario,Hinterlasse Kommentar
Hub_Education,,Зайдите в портал,Go to the portal,Portala git,ir al portal,Gehen Sie zum Portal
Hub_Build,,СТРОИТЬ,BUILD,İNŞA ETMEK,CONSTRUIR,BAUEN
Hub_ToLand,,На землю,To the ground,Yere,al suelo,Zu Boden
Hub_Fly,,ЛЕТАТЬ???,FLY???,UÇMAK???,¿¿¿VOLAR???,FLIEGEN???
