Language,,ENGLISH,RUSSIAN,TURKISH,SPANISH,INDONESIAN
Key,,en,ru,tr,es,id
Controls_Title,,Controls,Управление,Kontroller,Controles,Kontrol
Controls_MoveName,,Move,Передвежение,Taşınmak,Mover,Bergerak
Controls_JumpName,,Jump,Прыжок,Zıplamak,Saltar,Melompat
Controls_JumpKey,,space,пробел,uzay,espacio,ruang angkasa
Controls_JumpHint,2,"The longer, the higher!","Чем дольше, тем выше!","Ne kadar uzun, o kadar yüksek!","¡Cuanto más largo, más alto!","Semakin lama, semakin tinggi!"
Controls_PauseName,,Pause,Пауза,Duraklat,Pausa,Berhenti sebentar
Controls_PauseKey,,tab,tab,tab,pestaña,tab
Controls_CameraName,,Camera,Камера,Kamera,Cámara,Kamera
Controls_RestartName,,Restart,Рестарт,Tekrar başlat,Reanudar,Mulai ulang
Controls_RestartKey,,R,R,R,R,R
Controls_Luck,,Good luck!,Удачи!,İyi şanslar!,¡Buena suerte!,Semoga beruntung!
,,,,,,
Settings,,Settings,Настройки,Ayarlar,Ajustes,Pengaturan
Play,,Play,Играть,Oynamak,Jugar,Bermain
Delete_All,,Delete all,Удалить всё,Tümünü sil,Eliminar todo,Hapus semua
Menu,,Menu,Меню,Menü,Menú,Menu
Sail_Away,,Sail away,Отплыть,Uzaklara yelken aç,Irse a,Berlayar menjauh
Tap_To_Open,,Click to open!,"Нажми, чтобы открыть!",Açmak için tıklayın!,¡Haga clic para abrir!,Klik untuk membuka!
,,,,,,
,,,,,,
,,,,,,
Select a block,,Select a block,Выберите блок,Blok seç,Seleccionar bloque,Pilih blok
Put up a block,,Put up a block,Поставь блок,Bir blok koy,Poner un bloque,Pasang blok
Choose a block destroy tool,,Choose a block destroy tool,Выберите инструмент для уничтожения блоков,Bir blok yok etme aracı seçin,Elija una herramienta para destruir bloques,Pilih alat penghancur blok
Destroy the block,,Destroy the block,Уничтожьте  блок,Bloğu yok et,Destruir el bloque,Hancurkan bloknya
Getting loot,,Open chest,Откройте сундук,Açık göğüs,Cofre abierto,Dada terbuka
Enter the ship construction area,,Enter the ship construction area,Войдите в зону строительства корабля,Gemi inşaat alanına girin,Entrar en la zona de construcción de barcos,Masuk ke area konstruksi kapal
Choose a construction tool,,Choose a construction tool,Выберите инструмент для строительства,Bir inşaat aracı seçin,Elija una herramienta de construcción,Pilih alat konstruksi
Build a ship frame,,Build a ship frame,Постройте каркас корабля,Bir gemi iskeleti inşa et,Construir un marco de barco,Membangun rangka kapal
Turn on the engine,,Put the engine,Поставьте мотор,Motoru koy,Poner el motor,Pasang mesinnya
Hit the road!,,Hit the road!,В путь!,Yola koyulun!,¡Sal a la carretera!,Ayo berangkat!
Become stronger... The cannon will help you a lot!,,Become stronger... The cannon will help you a lot!,Станьте сильнее... Пушка очень поможет вам!,Daha güçlü ol... Top sana çok yardımcı olacak!,Hazte más fuerte...¡El cañón te ayudará mucho!,Jadilah lebih kuat... Meriam akan banyak membantumu!
Conquer the seas!,,Conquer the seas!,Покоряйте моря!,Denizleri fethedin!,¡Conquista los mares!,Taklukkan lautan!
,,,,,,
,,,,,,
,,,,,,
Choose a jetpack,,Choose a jetpack,Выбери реактивный ранец,Bir jetpack seçin,Elige un jetpack,Pilih jetpack
Fly to the top of the enemy tower,,Fly to the top of the enemy tower,Долети до вершины вражеской башни,Düşman kulesinin tepesine uç,Vuela a la cima de la torre enemiga.,Terbang ke puncak menara musuh
Select the “Install” tool,,Select the “Install” tool,Выбери инструмент “Поставить”,"""Yükle"" aracını seçin",Seleccione la herramienta “Instalar”,Pilih alat “Instal”
Choose dynamite,,Choose dynamite,Выбери динамит,Dinamit seçin,Elige dinamita,Pilih dinamit
Put up a block,,Put up a block,Поставь блок,Bir blok koy,Poner un bloque,Pasang blok
It's going to explode!,,It's going to explode!,Сейчас взорвется!,Patlayacak!,¡Va a explotar!,Ini akan meledak!
Open the chest,,Open the chest,Открой сундук,Sandığı aç,Abre el cofre,Buka peti itu
Go to the base,,Go to the base,Иди на базу,Üsse git,Ir a la base,Pergi ke pangkalan
Make a ladder out of blocks,,Make a ladder out of blocks,Сделай лестницу из блоков,Bloklardan bir merdiven yapın,Haz una escalera con bloques,Membuat tangga dari balok
Choose a jetpack,,Choose a jetpack,Выбери реактивный ранец,Bir jetpack seçin,Elige un jetpack,Pilih jetpack
Choose a jetpack,,Choose a jetpack,Выбери реактивный ранец,Bir jetpack seçin,Elige un jetpack,Pilih jetpack
